provider_name,website_url,domain,directory_source,directory_detail_url,source_url,address,phone,email,confidence,notes
De Schouderdokter,https://www.deschouderdokter.nl,deschouderdokter.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/overige-kliniek-de-schouderdokter-den-haag-10026825,https://deschouderdokter.nl,,0704062436,info@deschouderdokter.nl,0.60,No postal address detected.
Podotherapie Tol,https://www.podotherapie-tol.nl,podotherapie-tol.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/podotherapiepraktijk-podotherapie-tol-den-haag-10082681,,,,,0.00,No HTML pages were fetched.
Royal Tandprothetiek,https://royaltandprothetiek.nl/,royaltandprothetiek.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandprothetische-praktijk-royal-tandprothetiek-den-haag-10016291,https://royaltandprothetiek.nl,"Valeriusstraat 6, 2517 HR Den Haag",0702171817,info@royaltandprothetiek.nl,1.00,
Roelfsema Fysiotherapie,https://roelfsemafysiotherapie.nl,roelfsemafysiotherapie.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-roelfsema-fysiotherapie-den-haag-10020655,https://roelfsemafysiotherapie.nl/contact/,Dr. Kuyperstraat 10 2514 BB Den Haag T,0702211528,,0.70,No central email address detected.
Tandarts A. Karic-Linic,http://www.tandartskaric-linic.nl,tandartskaric-linic.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandarts-a-karic-linic-den-haag-3042897,,,,,0.00,No HTML pages were fetched.
Fysiotherapie Functional Lines,https://www.functionallines.nl,functionallines.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-functional-lines-den-haag-10009541,https://functionallines.nl,Adres Bonistraat 29 2585 SZ Den Haag,+31702042321,info@functionallines.nl,1.00,
Kraamzorg Het Zonnetje,http://www.kraamzorghetzonnetje.nl,kraamzorghetzonnetje.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/kraamzorg-kraamzorg-het-zonnetje-den-haag-10000763,http://kraamzorghetzonnetje.nl,President Kennedylaan 19 2517 JK Den Haag,0887950000,info@kraamzorghetzonnetje.nl,1.00,
Fysio Goudenregen,http://www.fysiogoudenregen.nl,fysiogoudenregen.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysio-goudenregen-den-haag-193460,http://fysiogoudenregen.nl/contact,Goudenregenstraat 244 | 2565 GD Den Haag,,claudia@fysiogoudenregen.nl,0.70,No central phone number detected.
Staten Fysio & Sportsrehab,https://www.jacqfysio.nl/nl,jacqfysio.nl,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-staten-fysio-sportsrehab-den-haag-10005249,,,,,0.00,No HTML pages were fetched.
"Fysiofit Den Haag, vestiging Eisenhowerlaan",https://www.fysiofit.com/,fysiofit.com,ZorgkaartNederland,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiofit-den-haag-vestiging-eisenhowerlaan-den-haag-10014163,https://fysiofit.com/locaties/,Frankenslag 160 2582 HX Den Haag Den Haag,0703546309,info@fysiofit.com,1.00,
